timestamp_utc,language,engine,text_preview,latency_s,output_path,status,note
2026-05-14T08:20:51Z,en,piper,Done.,0.5766,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:21:27Z,en,piper,Paused.,0.5895,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:21:35Z,en,piper,Resumed.,0.5576,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:21:42Z,en,piper,Session stopped.,0.5036,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:23:12Z,en,piper,The result of 2 + 2 is 4.,0.5654,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:53:29Z,en,piper,"Good morning. The calculation 2 * 2 equals 4, not 2.",0.8497,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:54:08Z,en,piper,"Good morning. The meaning of life is a complex and subjective question, often debated by philosophers, scientists, and spiritual leaders, with no definitive answer. It's a personal and ongoing explora",1.3595,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:54:54Z,en,piper,"To take a screenshot, press the Windows key + Print Screen on Windows or Command + Shift + 4 on Mac.",0.8943,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:55:26Z,en,piper,Screenshot saved.,0.5603,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:56:45Z,zh,edge-tts,您好！互联网是全球连接计算机和设备的网络，允许用户通过网络浏览器或应用程序访问信息和服务。,1.9085,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T08:57:35Z,zh,edge-tts,自动化运行中在 YouTube,1.9090,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T08:57:53Z,zh,edge-tts,完成。,1.2542,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T08:58:04Z,zh,edge-tts,正在播放第一个视频。,1.5208,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T08:58:21Z,zh,edge-tts,已暂停。,1.2197,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T08:58:40Z,zh,edge-tts,已继续播放。,1.1967,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T08:58:50Z,zh,edge-tts,已结束会话。,1.0483,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T08:59:11Z,en,piper,Automation is running on WhatsApp.,0.6635,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:59:21Z,en,piper,Selected the chat.,0.7507,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:59:41Z,en,piper,Sent.,0.6124,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:59:49Z,en,piper,Selected the chat.,0.7388,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:59:57Z,en,piper,Typed.,0.4568,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T09:00:05Z,en,piper,Sent.,0.6252,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T09:00:14Z,en,piper,Search updated.,0.7151,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T09:00:23Z,en,piper,Selected the chat.,0.7821,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T09:00:32Z,en,piper,Cleared the search.,0.6766,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T09:00:41Z,en,piper,Selected the chat.,0.6745,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T09:00:49Z,en,piper,Session stopped.,0.6593,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T09:01:18Z,en,piper,I'm here to help. Let's listen to some uplifting music or watch a funny cat video together. How does that sound?,0.9422,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T13:19:37Z,zh,edge-tts,计算机技术是指使用计算机硬件和软件来处理信息和解决问题的技术。,1.6063,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:20:13Z,en,piper,"Good evening. Data science is a field that combines computer science, statistics, and domain expertise to extract insights and knowledge from data. It's a subset of computer science that focuses on da",1.5782,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T13:21:49Z,zh,edge-tts,在现代社会中，数据科学和计算机比较思考（Computational Thinking）都是非常重要的技能。数据科学更侧重于数据分析和可视化，而计算机比较思考则是解决问题的通用方法。,2.2098,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:22:45Z,zh,edge-tts,根据您的问题，我理解您想知道未来10年中数据科学和计算机领域的发展趋势。根据当前趋势，数据科学的需求会持续增长，因为数据在商业和技术中的应用日益广泛。,1.6112,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:26:18Z,zh,edge-tts,未识别为系统指令。你可以说：计时、截图、打开 YouTube、或网页搜索。,2.1810,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:27:04Z,zh,edge-tts,未识别为系统指令。你可以说：计时、截图、打开 YouTube、或网页搜索。,1.1471,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:27:46Z,en,piper,"Based on current advancements, computer science is expected to trend towards:  - Increased adoption of Artificial Intelligence (AI) and Machine Learning (ML) in various industries. - Growing importanc",1.9609,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T13:28:36Z,zh,edge-tts,自动化运行中在 WhatsApp,1.2737,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:36:39Z,zh,edge-tts,自动化运行中在 WhatsApp,1.2386,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:36:54Z,zh,edge-tts,已选择聊天。,1.4538,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:37:07Z,zh,edge-tts,已输入。,1.0914,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:37:25Z,zh,edge-tts,已发送。,1.4690,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:37:37Z,zh,edge-tts,未识别该指令。可尝试搜索、播放第一个、暂停，或说停止自动化。,2.1937,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:37:57Z,zh,edge-tts,已选择聊天。,1.3329,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:38:10Z,zh,edge-tts,已输入。,1.2622,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:38:39Z,zh,edge-tts,已清空消息。,1.1473,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:38:51Z,zh,edge-tts,已结束会话。,1.0141,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T13:55:45Z,en,piper,Automation is running on WhatsApp.,0.6325,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T13:55:59Z,en,piper,"I did not understand that command. Try search, play first, pause, or stop automation.",0.8329,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T13:56:12Z,en,piper,"I did not understand that command. Try search, play first, pause, or stop automation.",0.8024,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T13:56:24Z,en,piper,Session stopped.,0.5598,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T15:17:12Z,zh,edge-tts,CDP connect failed (http://127.0.0.1:9222). Start Edge with --remote-debugging-port matching this URL. Underlying error: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222 Call log:   -,2.3147,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T15:18:18Z,zh,edge-tts,自动化运行中在 YouTube,1.7103,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T15:18:36Z,zh,edge-tts,完成。,1.7582,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T15:18:50Z,zh,edge-tts,正在播放第一个视频。,1.1679,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T15:19:09Z,zh,edge-tts,已暂停。,1.2566,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T15:19:27Z,zh,edge-tts,已结束会话。,1.0048,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-15T15:24:50Z,en,piper,"Agentic AI refers to artificial intelligence that exhibits autonomous decision-making and goal-directed behavior, similar to human agency. It can take initiative, make choices, and adapt to situations",1.8316,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:25:36Z,en,piper,"Agentic AI refers to artificial intelligence that exhibits autonomous decision-making and goal-directed behavior, often mimicking human agency.",1.1859,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:29:08Z,en,piper,Automation is running on WhatsApp.,0.8427,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:29:24Z,en,piper,Selected the chat.,1.0087,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:29:38Z,en,piper,"I did not understand that command. Try search, play first, pause, or stop automation.",1.0897,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:29:51Z,en,piper,"I did not understand that command. Try search, play first, pause, or stop automation.",1.0825,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:30:05Z,en,piper,Typed.,0.6538,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:30:13Z,en,piper,Cleared the message.,0.5147,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:30:23Z,en,piper,Search updated.,0.6378,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:30:33Z,en,piper,Cleared the search.,0.6746,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:30:42Z,en,piper,Selected the chat.,0.6190,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:30:51Z,en,piper,Search updated.,0.6705,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:31:01Z,en,piper,Search updated.,0.7019,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:31:16Z,en,piper,Search updated.,0.6611,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:31:25Z,en,piper,Selected the chat.,0.7046,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:31:35Z,en,piper,Cleared the search.,0.6691,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-15T15:31:43Z,en,piper,Session stopped.,0.5334,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:27:17Z,en,piper,Automation is running on WhatsApp.,1.0017,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:27:28Z,en,piper,Selected the chat.,0.8078,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:27:49Z,en,piper,Typed.,0.6905,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:28:17Z,en,piper,Search updated.,0.6632,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:28:26Z,en,piper,Cleared the search.,1.0315,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:28:35Z,en,piper,Selected the chat.,0.9631,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:28:45Z,en,piper,Sent.,0.6814,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:28:54Z,en,piper,Search updated.,0.6214,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:29:03Z,en,piper,Selected the chat.,0.6967,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:29:12Z,en,piper,Session stopped.,0.6973,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:33:41Z,en,piper,Automation is running on Google News.,1.2394,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:33:54Z,en,piper,Done.,0.9220,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:34:09Z,en,piper,Done.,0.5821,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:34:18Z,en,piper,Done.,0.6064,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:34:37Z,en,piper,Session stopped.,0.5970,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:35:49Z,zh,edge-tts,马来西亚未来发展趋势将重点在数字经济、绿色能源和创新技术上。政府也将推动制造业和旅游业的发展。,3.0388,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:37:21Z,zh,edge-tts,数字经济是指在数字化环境下进行的经济活动，包括电子商务、在线支付、数字货币等。,1.9854,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:43:44Z,zh,edge-tts,数字经济最合适的专业是数据科学、人工智能、网络安全和电子商务等。,2.8445,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:44:28Z,zh,edge-tts,自动化运行中在 YouTube,1.5291,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:44:50Z,zh,edge-tts,完成。,1.4735,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:45:01Z,zh,edge-tts,正在播放第一个视频。,1.4141,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:45:12Z,zh,edge-tts,已暂停。,1.4267,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:45:24Z,zh,edge-tts,已继续播放。,1.2351,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:45:39Z,zh,edge-tts,已结束会话。,1.4220,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-16T08:47:47Z,en,piper,Automation is running on WhatsApp.,1.0545,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:47:58Z,en,piper,Selected the chat.,0.8933,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-16T08:48:06Z,en,piper,Session stopped.,0.5327,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-17T13:42:22Z,en,piper,Automation is running on WhatsApp.,1.1248,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-17T13:42:32Z,en,piper,Selected the chat.,0.7023,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-17T13:42:41Z,en,piper,Typed.,0.5621,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-17T13:42:49Z,en,piper,Sent.,0.5290,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-17T13:42:56Z,en,piper,"I did not understand that command. Try search, play first, pause, or stop automation.",0.7539,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-17T13:43:08Z,en,piper,Session stopped.,0.5935,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T05:53:12Z,en,piper,"Good morning, I'm functioning properly. How can I assist you today?",0.9923,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T05:57:46Z,en,piper,Automation is running on WhatsApp.,0.6380,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T06:21:39Z,en,piper,"I'm functioning properly, thank you for asking. How can I assist you today?",0.8087,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T06:32:18Z,en,piper,"I'm not capable of taking screenshots. To capture a screenshot, you can use the keyboard shortcut Ctrl + Print Screen (Windows) or Command + Shift + 4 (Mac).   Did you want to know the keyboard shortc",2.0274,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T06:32:45Z,en,piper,Screenshot saved.,1.1340,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T07:09:52Z,en,piper,CDP connect failed (http://127.0.0.1:9222). Start Edge with --remote-debugging-port matching this URL. Underlying error: BrowserType.connect_over_cdp: connect ECONNREFUSED 127.0.0.1:9222 Call log:   -,3.1592,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T07:17:11Z,en,piper,"Good morning. Computer science is the study of the theory, design, and implementation of computer systems and algorithms to solve real-world problems. It encompasses a wide range of fields, including ",2.0783,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T07:17:53Z,zh,edge-tts,你好。互联网是全球范围内的计算机网络，通过互联网可以访问大量的信息和服务。,3.8653,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T07:25:04Z,en,piper,"Data science is the study of extracting insights and knowledge from data using various techniques, including machine learning, statistics, and programming. It involves analyzing and interpreting compl",1.6043,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T07:26:29Z,zh,edge-tts,自动化运行中在 谷歌新闻,2.4044,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T07:26:55Z,en,piper,"I did not understand that command. Try search, find, enter, or stop automation.",0.9009,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T07:27:26Z,en,piper,Done.,1.0924,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T07:28:01Z,zh,edge-tts,完成。,2.5233,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T13:08:11Z,en,piper,The result of 1 divided by 4 is 0.25.,0.8675,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T13:46:48Z,en,piper,"Computer science is the study of the theory, design, and implementation of computer systems and algorithms. It involves understanding the fundamental principles of computing and applying them to solve",1.6100,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T13:52:51Z,zh,edge-tts,自动化运行中在 YouTube,3.6116,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T13:53:15Z,zh,edge-tts,已结束会话。,1.0946,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T14:01:18Z,zh,edge-tts,截图已保存。,2.6379,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T14:06:24Z,zh,edge-tts,自动化运行中在 WhatsApp,1.4284,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T14:06:41Z,zh,edge-tts,已结束会话。,1.3663,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-18T14:16:44Z,en,piper,You can access your downloads on Friday by going to the Files or Downloads section.,0.8451,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T14:17:45Z,en,piper,Opening your downloads folder.,0.6670,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-18T14:18:18Z,zh,edge-tts,未识别为系统指令。你可以说：计时、截图、打开 YouTube、或网页搜索。,5.0097,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
